Electrode_1,Electrode_2,Electrode_3,label
-1.62E+02,-1.62E+02,2.80E+02,-1
-3.16E+01,-3.16E+01,2.57E+00,0
-1.48E+02,-1.48E+02,2.81E+02,1
9.53E+00,9.53E+00,-1.24E+01,1
2.39E+01,2.39E+01,-1.76E+01,0
-1.27E+01,-1.27E+01,3.59E+00,0
-5.52E+01,-5.52E+01,4.06E+01,1
-1.86E+02,-1.86E+02,3.84E+02,-1
3.20E+00,3.20E+00,-7.00E+00,0
-4.03E+01,-4.03E+01,9.94E+01,-1
4.17E+01,4.17E+01,1.12E+01,1
-1.67E+02,-1.67E+02,1.76E+02,-1
-1.64E+01,-1.64E+01,2.36E+01,0
1.03E+01,1.03E+01,-1.48E+01,-1
4.93E+00,4.93E+00,-1.73E+01,0
-1.61E+02,-1.61E+02,4.27E+02,-1
-6.15E+01,-6.15E+01,-2.12E+01,1
1.58E+01,1.58E+01,1.83E+00,0
-2.49E+02,-2.49E+02,6.78E+02,-1
-4.34E+01,-4.34E+01,1.56E+02,-1
-2.98E+01,-2.98E+01,-2.84E+01,-1
4.53E+01,4.53E+01,-2.27E+01,0
2.32E+01,2.32E+01,2.66E+02,-1
-1.70E+01,-1.70E+01,6.12E+01,-1
-1.32E+02,-1.32E+02,-6.97E+01,1
-6.39E+01,-6.39E+01,2.18E+01,0
-1.72E+00,-1.72E+00,1.67E+02,-1
2.33E+01,2.33E+01,-3.24E+00,0
-1.39E+00,-1.39E+00,1.06E+02,1
-1.32E+02,-1.32E+02,3.46E+02,1
-1.55E+01,-1.55E+01,-1.76E+01,1
-2.58E+01,-2.58E+01,6.97E+01,0
-1.71E+01,-1.71E+01,1.18E+01,0
3.67E+00,3.67E+00,1.01E+01,1
1.26E+01,1.26E+01,5.08E+00,0
7.15E+01,7.15E+01,-2.30E+01,0
-1.07E+02,-1.07E+02,4.15E+01,1
-1.89E+02,-1.89E+02,2.94E+02,-1
-7.20E+01,-7.20E+01,1.09E+02,1
-1.38E+00,-1.38E+00,-1.51E+01,0
-2.71E+01,-2.71E+01,2.63E+01,0
-1.99E+01,-1.99E+01,8.77E+00,0
-1.16E+02,-1.16E+02,7.21E+01,1
3.42E+00,3.42E+00,-7.60E+00,0
-2.08E+02,-2.08E+02,4.30E+02,-1
-4.29E+01,-4.29E+01,-2.52E+01,1
-1.50E+02,-1.50E+02,2.26E+02,-1
-4.17E+01,-4.17E+01,-7.17E+01,1
-1.93E+02,-1.93E+02,3.74E+02,-1
-5.44E+00,-5.44E+00,1.46E+01,1
-2.53E+02,-2.53E+02,6.99E+02,1
4.42E+01,4.42E+01,-1.18E+02,-1
-9.23E+00,-9.23E+00,1.85E+01,1
-3.78E+00,-3.78E+00,-7.50E+00,0
-1.58E+01,-1.58E+01,-1.20E+01,1
-1.63E+02,-1.63E+02,2.26E+02,-1
-9.95E+00,-9.95E+00,-1.93E+00,0
-5.32E+01,-5.32E+01,-4.53E+01,-1
-8.08E+00,-8.08E+00,5.20E+00,1
3.86E+01,3.86E+01,1.15E+01,0
-1.39E+02,-1.39E+02,2.34E+02,-1
4.70E+01,4.70E+01,7.12E+00,0
-2.72E+01,-2.72E+01,-1.04E+01,1
-2.35E+01,-2.35E+01,1.16E+02,-1
2.39E+00,2.39E+00,5.14E-01,0
9.44E+01,9.44E+01,1.46E+01,1
4.93E-01,4.93E-01,1.38E+01,0
-2.69E+02,-2.69E+02,7.23E+02,-1
2.63E+01,2.63E+01,-1.37E+01,0
-1.01E+02,-1.01E+02,3.05E+01,1
-1.24E+02,-1.24E+02,2.42E+02,1
-7.47E+01,-7.47E+01,-8.15E+00,1
-1.28E+02,-1.28E+02,1.46E+01,0
-1.35E+02,-1.35E+02,2.72E+02,-1
-2.73E+01,-2.73E+01,-3.65E+00,0
2.77E+01,2.77E+01,-8.30E+00,0
8.25E+01,8.25E+01,3.54E+00,1
-2.07E+01,-2.07E+01,1.18E+01,1
-3.91E+02,-3.91E+02,7.73E+02,-1
-2.05E+02,-2.05E+02,3.93E+02,1
6.55E+00,6.55E+00,-1.18E+01,0
1.12E+00,1.12E+00,2.79E+01,1
2.54E+01,2.54E+01,1.52E+01,0
-3.71E+01,-3.71E+01,-4.24E+01,1
1.43E+01,1.43E+01,-2.83E+01,0
-1.15E+01,-1.15E+01,-2.33E+00,0
6.08E+01,6.08E+01,3.08E+01,0
-5.52E+01,-5.52E+01,1.98E+01,1
6.59E+01,6.59E+01,-1.01E+01,0
2.07E+01,2.07E+01,1.13E+01,0
4.18E+00,4.18E+00,-1.82E+02,1
-1.68E+02,-1.68E+02,3.64E+02,-1
-1.57E+02,-1.57E+02,4.40E+02,-1
-3.01E+01,-3.01E+01,4.79E+01,1
-6.64E+01,-6.64E+01,9.00E+00,0
-1.75E+02,-1.75E+02,2.85E+02,-1
-2.49E+02,-2.49E+02,4.33E+02,1
-2.25E+02,-2.25E+02,4.91E+02,-1
3.87E+01,3.87E+01,-2.80E+01,-1
1.16E+01,1.16E+01,9.87E-02,0
-1.60E+02,-1.60E+02,3.51E+02,-1
1.51E+01,1.51E+01,-1.14E+02,-1
-1.14E+02,-1.14E+02,3.88E+02,-1
-7.29E+01,-7.29E+01,2.46E+02,-1
-3.10E+01,-3.10E+01,6.09E+01,-1
-1.34E+00,-1.34E+00,-1.82E+01,1
-2.26E+02,-2.26E+02,2.97E+02,-1
-1.95E+00,-1.95E+00,1.42E+01,0
-1.01E+01,-1.01E+01,-1.57E+01,1
-3.35E+01,-3.35E+01,3.11E+00,1
-4.56E+01,-4.56E+01,-1.77E+00,1
4.63E+01,4.63E+01,-5.52E+01,0
-3.78E+02,-3.78E+02,7.39E+02,-1
1.07E+01,1.07E+01,-1.46E+01,0
3.93E+01,3.93E+01,-4.27E-01,0
-4.38E+00,-4.38E+00,-6.11E+01,1
-1.77E+01,-1.77E+01,3.01E+01,0
1.43E+00,1.43E+00,-1.37E+01,1
-2.35E+01,-2.35E+01,5.74E+01,1
-2.71E+00,-2.71E+00,5.40E+01,1
-1.71E+01,-1.71E+01,-5.49E+00,1
-1.32E+02,-1.32E+02,4.03E+02,1
3.85E+01,3.85E+01,-8.12E+00,0
-1.62E+01,-1.62E+01,3.16E+00,0
1.76E+01,1.76E+01,2.23E+00,0
-5.08E+01,-5.08E+01,8.27E+01,1
-7.13E+00,-7.13E+00,2.25E+01,0
7.81E+01,7.81E+01,-2.58E+02,-1
-1.99E+02,-1.99E+02,3.96E+02,-1
-3.45E+01,-3.45E+01,1.56E+01,0
6.81E+01,6.81E+01,-3.85E+01,-1
-5.80E+01,-5.80E+01,-6.40E+00,1
-1.60E+01,-1.60E+01,3.82E+00,0
-6.64E+01,-6.64E+01,1.91E+02,-1
3.72E+01,3.72E+01,-1.27E+01,0
8.19E+01,8.19E+01,-2.30E+02,-1
-6.47E+01,-6.47E+01,3.40E+01,1
-4.01E+01,-4.01E+01,1.53E+01,1
-4.02E+00,-4.02E+00,-3.73E-01,0
6.49E+00,6.49E+00,-1.18E+02,-1
-1.38E+02,-1.38E+02,-7.74E+01,1
-5.14E+01,-5.14E+01,8.51E+01,-1
-4.74E+01,-4.74E+01,-8.33E+00,1
1.90E+01,1.90E+01,-3.21E+01,0
1.62E-01,1.62E-01,4.64E+01,1
3.30E+01,3.30E+01,5.66E+00,1
-2.55E+02,-2.55E+02,5.70E+02,1
1.30E+01,1.30E+01,-7.39E+01,1
-1.14E+02,-1.14E+02,2.54E+02,1
2.71E+01,2.71E+01,-3.13E+01,0
-1.40E+02,-1.40E+02,2.86E+02,-1
-1.86E+02,-1.86E+02,4.62E+02,-1
1.17E+02,1.17E+02,-3.08E+02,-1
-2.25E+01,-2.25E+01,2.67E+01,0
-1.07E+02,-1.07E+02,1.13E+02,1
-1.59E+01,-1.59E+01,-2.61E+01,1
-1.03E+01,-1.03E+01,-2.99E+00,0
-5.63E+01,-5.63E+01,2.54E+01,1
-4.00E+01,-4.00E+01,-9.45E+00,1
2.37E+01,2.37E+01,4.30E+00,0
-3.93E+01,-3.93E+01,1.55E+02,-1
-1.01E+02,-1.01E+02,2.70E+02,-1
1.82E+01,1.82E+01,-1.13E+02,-1
-6.99E+00,-6.99E+00,-7.05E+00,0
-1.05E+02,-1.05E+02,1.98E+02,-1
-6.86E+01,-6.86E+01,3.17E-01,0
-7.97E+00,-7.97E+00,-4.97E+00,0
5.49E+01,5.49E+01,-9.49E+00,0
-1.48E+02,-1.48E+02,4.05E+02,-1
-1.69E+02,-1.69E+02,3.52E+02,-1
3.37E+01,3.37E+01,-1.49E+01,0
1.27E+01,1.27E+01,9.64E+00,0
-2.17E+02,-2.17E+02,3.98E+02,-1
-1.28E+02,-1.28E+02,1.95E+01,1
-1.58E+01,-1.58E+01,-1.61E+01,0
1.31E+02,1.31E+02,-2.43E+01,0
-2.03E+02,-2.03E+02,2.54E+02,-1
8.21E+01,8.21E+01,-1.96E+01,0
-3.00E+01,-3.00E+01,1.19E+02,-1
-8.10E+01,-8.10E+01,1.82E+02,-1
-1.01E+02,-1.01E+02,1.81E+02,1
-1.73E+01,-1.73E+01,-2.26E+01,-1
-8.94E+00,-8.94E+00,6.24E+00,0
5.10E+00,5.10E+00,6.52E+01,-1
-1.93E+01,-1.93E+01,7.54E+00,1
1.72E+01,1.72E+01,-1.16E+01,0
-1.15E+01,-1.15E+01,-3.80E-01,1
-9.34E+01,-9.34E+01,1.03E+02,-1
1.84E+00,1.84E+00,1.12E+02,-1
5.01E+01,5.01E+01,-1.43E+02,-1
-4.42E+01,-4.42E+01,3.45E+01,0
-2.26E+02,-2.26E+02,4.24E+02,-1
-1.40E+02,-1.40E+02,2.46E+02,-1
-3.20E+02,-3.20E+02,5.00E+02,-1
1.48E+01,1.48E+01,5.96E+00,0
2.68E+01,2.68E+01,-2.30E+01,0
-4.40E+01,-4.40E+01,4.65E+01,1
1.38E+01,1.38E+01,-2.54E+01,0
7.95E+00,7.95E+00,-4.82E+01,1
-3.11E+00,-3.11E+00,4.20E+00,0
-3.33E+02,-3.33E+02,5.44E+02,-1
-2.31E+02,-2.31E+02,8.01E+02,-1
-2.20E+02,-2.20E+02,7.15E+02,-1
5.94E+01,5.94E+01,-3.84E+01,0
-2.86E+01,-2.86E+01,2.29E+01,0
-4.91E+00,-4.91E+00,-1.33E+01,0
-3.72E+01,-3.72E+01,1.22E+02,-1
-3.19E+01,-3.19E+01,3.67E+00,1
-4.92E+01,-4.92E+01,-3.52E+01,1
-3.92E+00,-3.92E+00,-1.49E+01,0
5.70E+01,5.70E+01,-6.98E+01,-1
6.85E+01,6.85E+01,-1.09E+01,0
-4.03E+00,-4.03E+00,3.26E+01,1
-2.09E+01,-2.09E+01,2.34E+01,0
-2.56E+01,-2.56E+01,1.60E+01,1
-1.57E+01,-1.57E+01,-2.15E+01,1
-2.71E+01,-2.71E+01,2.92E+01,1
4.56E+01,4.56E+01,-6.71E+00,0
-3.49E+01,-3.49E+01,5.50E+01,1
7.65E+01,7.65E+01,-1.28E+02,-1
2.84E+01,2.84E+01,-1.38E+02,-1
-8.07E+01,-8.07E+01,1.39E+02,1
-7.90E+00,-7.90E+00,1.78E+01,0
-1.61E+02,-1.61E+02,4.87E+02,-1
-1.99E+01,-1.99E+01,-5.85E+00,0
7.74E+02,7.74E+02,-3.01E+02,1
-2.58E+02,-2.58E+02,4.62E+02,-1
-7.41E+01,-7.41E+01,2.14E+02,-1
-7.58E+00,-7.58E+00,5.96E+01,-1
-2.09E+01,-2.09E+01,2.83E+01,1
-7.66E+01,-7.66E+01,1.78E+01,1
-5.46E+00,-5.46E+00,6.23E+00,0
-7.56E+01,-7.56E+01,1.92E+02,-1
2.92E+01,2.92E+01,-1.46E+01,0
5.81E+01,5.81E+01,7.67E+00,0
8.96E+01,8.96E+01,-1.22E+02,-1
-1.73E+02,-1.73E+02,2.38E+02,-1
-6.60E+01,-6.60E+01,-1.93E+01,1
-1.53E+02,-1.53E+02,3.10E+02,1
4.27E+01,4.27E+01,-9.39E+01,-1
-1.38E+02,-1.38E+02,2.60E+02,-1
-1.57E+02,-1.57E+02,2.45E+02,-1
-6.24E+01,-6.24E+01,-8.49E+00,1
3.62E+00,3.62E+00,-8.22E+00,0
-6.51E+01,-6.51E+01,5.48E+00,0
-2.57E+02,-2.57E+02,5.70E+02,1
-1.66E+02,-1.66E+02,4.15E+02,-1
-1.02E+02,-1.02E+02,1.29E+02,-1
-3.06E+01,-3.06E+01,5.23E+00,0
2.30E+01,2.30E+01,3.80E+01,1
-5.15E+01,-5.15E+01,1.83E+02,-1
4.61E+01,4.61E+01,-5.71E+01,1
7.21E+00,7.21E+00,-3.01E+01,1
-1.91E+01,-1.91E+01,4.90E+01,1
-1.48E+02,-1.48E+02,6.06E+02,-1
4.67E+01,4.67E+01,-1.44E+02,-1
-2.07E+02,-2.07E+02,3.76E+02,-1
-8.44E+01,-8.44E+01,1.38E+01,1
6.15E+00,6.15E+00,-1.31E+01,0
2.27E+01,2.27E+01,-9.57E+00,0
6.88E+00,6.88E+00,-3.99E+01,1
-3.00E+01,-3.00E+01,2.78E+01,0
4.09E+01,4.09E+01,-9.76E+00,0
-7.56E+01,-7.56E+01,-2.24E+01,1
-2.10E+00,-2.10E+00,8.09E+00,0
1.68E+01,1.68E+01,-9.43E+00,0
-1.79E+02,-1.79E+02,3.18E+02,-1
-2.01E+02,-2.01E+02,2.23E+02,-1
-1.23E+01,-1.23E+01,-1.09E+01,1
-3.75E+01,-3.75E+01,2.31E+01,0
-1.43E+02,-1.43E+02,2.64E+02,-1
-1.92E+01,-1.92E+01,1.12E+02,-1
-1.86E+02,-1.86E+02,5.57E+02,-1
-2.93E+01,-2.93E+01,-8.29E+00,0
4.56E+01,4.56E+01,-8.23E+00,0
-3.65E+01,-3.65E+01,-5.19E+00,1
1.87E+00,1.87E+00,-6.38E+01,1
-7.25E+01,-7.25E+01,8.06E+01,-1
3.24E+01,3.24E+01,-8.77E+01,1
5.55E+01,5.55E+01,-2.80E+01,0
-1.70E+02,-1.70E+02,3.87E+02,-1
-6.25E+01,-6.25E+01,6.46E+01,-1
-4.62E+00,-4.62E+00,-6.65E+00,0
4.95E+01,4.95E+01,2.80E+01,-1
3.55E+01,3.55E+01,-2.40E+01,0
-2.51E+00,-2.51E+00,1.21E+01,1
6.42E+00,6.42E+00,5.29E+00,1
-4.95E+00,-4.95E+00,5.20E+00,0
-2.94E+01,-2.94E+01,4.48E+01,0
1.39E+01,1.39E+01,6.17E+00,0
-2.72E+02,-2.72E+02,5.19E+02,-1
-3.71E+01,-3.71E+01,3.49E+02,-1
-3.53E+01,-3.53E+01,7.69E+01,1
-3.00E+02,-3.00E+02,5.95E+02,1
6.14E+00,6.14E+00,1.42E+01,0
-2.45E+01,-2.45E+01,2.38E+01,0
4.16E+01,4.16E+01,-5.80E+00,0
4.90E+01,4.90E+01,-2.07E+01,0
-1.86E+02,-1.86E+02,5.22E+02,-1
1.43E+01,1.43E+01,2.99E+01,0
-3.09E+01,-3.09E+01,-2.81E+01,-1
8.53E-01,8.53E-01,-8.86E+00,0
-2.40E+01,-2.40E+01,3.82E+01,1
-9.88E+01,-9.88E+01,2.65E+02,1
-6.89E-01,-6.89E-01,8.86E+00,0
-2.59E+01,-2.59E+01,8.76E+00,1
2.25E+01,2.25E+01,-1.36E+01,0
-2.38E+02,-2.38E+02,3.16E+02,-1
-3.30E+01,-3.30E+01,1.77E+02,-1
-5.10E+00,-5.10E+00,2.26E+01,-1
-1.38E+02,-1.38E+02,1.68E+02,-1
3.17E+01,3.17E+01,-2.46E+01,0
-4.10E+01,-4.10E+01,-1.66E+01,1
5.38E+01,5.38E+01,-3.29E+00,0
9.62E+00,9.62E+00,-1.20E+00,0
-4.64E+01,-4.64E+01,2.56E+00,0
2.53E+00,2.53E+00,1.13E+01,1
-3.98E+01,-3.98E+01,-1.37E+01,1
-2.59E+01,-2.59E+01,1.40E+01,0
-2.95E+01,-2.95E+01,4.49E+00,0
-1.83E+02,-1.83E+02,-1.39E+02,1
7.00E+00,7.00E+00,2.13E+01,0
-1.52E+02,-1.52E+02,2.91E+02,-1
-3.84E+02,-3.84E+02,2.99E+02,-1
1.25E+01,1.25E+01,-7.24E+01,-1
1.04E+02,1.04E+02,-1.13E+02,-1
-2.02E+02,-2.02E+02,2.08E+02,-1
-4.35E+01,-4.35E+01,1.44E+01,0
-1.35E+02,-1.35E+02,3.05E+02,-1
-9.45E+00,-9.45E+00,-9.60E+00,0
3.07E-01,3.07E-01,-1.24E+00,0
-2.00E+01,-2.00E+01,1.38E+01,0
9.23E+00,9.23E+00,-1.48E+01,0
2.23E+01,2.23E+01,3.00E+01,1
-5.54E+01,-5.54E+01,5.58E+01,1
-1.28E+00,-1.28E+00,3.88E+01,0
6.12E+00,6.12E+00,1.72E+01,1
-7.38E+01,-7.38E+01,1.03E+01,0
3.28E+00,3.28E+00,-2.17E+01,0
1.45E+01,1.45E+01,-4.64E+00,1
-5.29E+00,-5.29E+00,1.12E+01,1
-2.47E+02,-2.47E+02,1.04E+02,-1
-5.75E+00,-5.75E+00,3.38E+01,1
2.88E+01,2.88E+01,-6.49E+01,-1
6.36E+00,6.36E+00,3.38E+01,0
-2.31E+02,-2.31E+02,-7.55E+01,0
-2.87E+01,-2.87E+01,1.47E+01,0
-9.87E+01,-9.87E+01,2.42E+02,-1
5.75E-01,5.75E-01,9.94E+00,1
1.55E+02,1.55E+02,-3.68E+02,1
-8.90E+00,-8.90E+00,7.75E+00,1
2.34E+01,2.34E+01,1.42E+00,1
3.31E+01,3.31E+01,-2.96E+01,-1
-1.08E+02,-1.08E+02,2.67E+02,-1
4.37E+01,4.37E+01,-1.24E+01,0
1.27E+00,1.27E+00,-1.32E+00,0
-1.79E+02,-1.79E+02,2.91E+02,-1
2.27E+00,2.27E+00,-5.91E+00,0
-2.47E+02,-2.47E+02,4.06E+02,-1
-3.91E+01,-3.91E+01,3.50E+01,0
-1.95E+01,-1.95E+01,-9.70E+00,0
-6.14E+01,-6.14E+01,1.82E+02,-1
-2.02E+02,-2.02E+02,6.32E+02,-1
-1.40E+02,-1.40E+02,1.91E+02,-1
-3.40E+01,-3.40E+01,1.17E+02,1
-2.17E+02,-2.17E+02,1.17E+02,-1
-7.25E+01,-7.25E+01,2.75E+01,0
-1.01E+02,-1.01E+02,1.79E+02,1
-3.45E+02,-3.45E+02,2.50E+02,-1
1.97E+01,1.97E+01,-5.32E+00,0
-3.85E+00,-3.85E+00,3.37E+00,0
-5.78E+01,-5.78E+01,7.61E+00,0
1.19E+01,1.19E+01,-2.50E+01,0
3.49E-01,3.49E-01,1.09E+01,0
-2.86E+02,-2.86E+02,5.81E+02,-1
-8.07E+01,-8.07E+01,1.69E+02,1
3.24E+01,3.24E+01,2.71E+00,0
1.13E+01,1.13E+01,-2.17E+01,1
3.65E-01,3.65E-01,-3.31E+01,-1
8.34E+01,8.34E+01,-1.94E+02,1
-1.40E+01,-1.40E+01,5.42E+01,-1
-3.29E+01,-3.29E+01,-1.49E+01,0
-2.96E+01,-2.96E+01,2.49E+01,1
-3.62E+00,-3.62E+00,1.25E+01,1
-5.05E+01,-5.05E+01,-1.04E+01,1
-2.41E+01,-2.41E+01,2.82E+01,1
1.48E+01,1.48E+01,-7.07E+00,1
-5.27E+00,-5.27E+00,5.42E+00,0
6.07E+01,6.07E+01,-3.89E+01,-1
-2.74E+02,-2.74E+02,6.39E+02,-1
9.26E+00,9.26E+00,4.34E+00,0
5.33E+01,5.33E+01,-2.79E+01,0
-5.67E+00,-5.67E+00,1.42E+01,1
-1.38E+02,-1.38E+02,3.01E+02,-1
-2.63E+01,-2.63E+01,4.01E-01,1
1.38E+02,1.38E+02,-4.09E+01,0
1.55E+01,1.55E+01,1.82E+00,0
-3.10E+01,-3.10E+01,7.81E-01,0
-3.36E+01,-3.36E+01,9.56E+01,-1
3.09E+01,3.09E+01,-8.67E-01,0
-1.00E+00,-1.00E+00,-2.44E+00,0
-2.21E+02,-2.21E+02,3.91E+02,-1
-6.59E+00,-6.59E+00,-4.46E+01,1
-1.08E+02,-1.08E+02,-9.29E+00,1
-3.99E+01,-3.99E+01,7.64E+01,-1
-2.20E+01,-2.20E+01,-1.51E+01,1
2.20E+01,2.20E+01,-3.64E+00,0
-1.59E+02,-1.59E+02,2.79E+02,1
4.59E+01,4.59E+01,-2.63E+01,0
1.59E+01,1.59E+01,1.88E+01,1
-2.19E+00,-2.19E+00,1.42E+01,1
4.34E+01,4.34E+01,7.52E+01,1
2.62E+00,2.62E+00,-1.04E+01,0
-2.00E+01,-2.00E+01,1.82E+01,0
1.30E+01,1.30E+01,1.69E+01,0
-2.85E+01,-2.85E+01,9.13E+00,-1
-1.48E+02,-1.48E+02,-5.64E+01,0
-2.83E+01,-2.83E+01,5.37E+00,1
4.29E+01,4.29E+01,-1.49E+01,0
-1.46E+02,-1.46E+02,6.15E+02,-1
-1.00E+02,-1.00E+02,9.55E+01,1
-1.12E+02,-1.12E+02,2.27E+02,-1
1.31E+01,1.31E+01,5.29E+01,-1
-1.93E+01,-1.93E+01,1.12E+01,1
-1.72E+02,-1.72E+02,3.80E+02,-1
