Electrode_1,Electrode_2,Electrode_3,label
-4.28E+01,-4.28E+01,-9.33E+00,-1
3.16E+01,3.16E+01,-5.79E+01,1
-1.55E+01,-1.55E+01,5.02E+00,0
-1.40E+02,-1.40E+02,2.91E+02,-1
2.44E+01,2.44E+01,2.10E+01,0
1.63E+00,1.63E+00,9.05E+00,0
2.21E+02,2.21E+02,-2.45E+02,-1
7.19E+00,7.19E+00,1.19E+00,0
-1.31E+01,-1.31E+01,1.47E+01,-1
-3.09E+01,-3.09E+01,5.33E+01,1
-1.84E+02,-1.84E+02,3.03E+02,-1
3.71E+00,3.71E+00,-1.88E+01,1
-3.32E+01,-3.32E+01,1.08E+02,-1
-2.67E+01,-2.67E+01,1.63E+01,0
-4.55E+01,-4.55E+01,2.81E+01,1
-2.78E+01,-2.78E+01,1.78E+01,0
-4.10E+02,-4.10E+02,7.99E+02,-1
-3.56E+01,-3.56E+01,3.52E+01,1
-4.60E+01,-4.60E+01,-4.11E+01,1
-6.85E+01,-6.85E+01,1.09E+02,-1
-7.21E+01,-7.21E+01,1.73E+02,-1
-2.69E+01,-2.69E+01,-1.52E+00,1
-3.85E+01,-3.85E+01,1.38E+01,1
-5.42E+01,-5.42E+01,2.18E+01,1
2.26E+01,2.26E+01,-2.20E+02,-1
2.72E+01,2.72E+01,7.76E+00,0
-2.22E+02,-2.22E+02,5.77E+02,1
-9.19E+01,-9.19E+01,2.40E+02,-1
-9.13E+00,-9.13E+00,-3.57E+00,0
-5.77E+00,-5.77E+00,6.31E+01,1
-3.18E+01,-3.18E+01,-5.41E+01,1
2.05E+01,2.05E+01,-1.34E+01,0
-3.16E+01,-3.16E+01,1.14E+01,0
-3.36E+01,-3.36E+01,-1.21E+01,1
-6.97E+01,-6.97E+01,3.51E+01,0
-2.44E+02,-2.44E+02,3.36E+02,1
-1.90E+01,-1.90E+01,3.54E+01,1
-2.17E-01,-2.17E-01,1.67E+01,1
-2.79E+01,-2.79E+01,2.26E+01,0
-4.84E+01,-4.84E+01,1.78E+01,0
3.33E+02,3.33E+02,-8.05E+02,1
-1.80E+02,-1.80E+02,5.59E+02,-1
-4.44E+02,-4.44E+02,8.09E+02,-1
-9.25E+01,-9.25E+01,1.91E+02,-1
-1.36E+02,-1.36E+02,1.76E+02,-1
-6.13E+00,-6.13E+00,-3.98E+01,-1
-2.61E+01,-2.61E+01,1.39E+01,1
-2.66E+02,-2.66E+02,6.02E+02,-1
6.62E+00,6.62E+00,2.33E+01,0
3.87E+01,3.87E+01,-3.18E+00,0
-2.84E+02,-2.84E+02,5.93E+02,1
-8.30E+01,-8.30E+01,-1.13E+01,1
-1.23E+01,-1.23E+01,1.36E+01,1
-7.08E+01,-7.08E+01,1.38E+02,-1
-9.20E+00,-9.20E+00,-1.47E+01,0
-5.62E+01,-5.62E+01,-2.15E+01,1
1.90E+01,1.90E+01,-3.84E+01,0
-3.22E+01,-3.22E+01,2.43E+01,1
-2.21E+02,-2.21E+02,5.03E+02,1
-1.96E+01,-1.96E+01,2.23E+01,1
-3.20E+01,-3.20E+01,-2.69E+01,1
-1.24E+01,-1.24E+01,2.44E+01,0
2.26E+01,2.26E+01,-6.83E+00,1
-3.05E+02,-3.05E+02,6.93E+02,1
-4.52E+01,-4.52E+01,2.46E+01,1
-1.97E+01,-1.97E+01,1.49E+01,0
3.15E+02,3.15E+02,-1.01E+03,-1
2.35E+01,2.35E+01,-4.18E+01,0
3.71E+01,3.71E+01,2.20E+00,0
-6.84E+01,-6.84E+01,8.32E+00,1
-2.43E+02,-2.43E+02,-4.50E+01,0
-7.23E+01,-7.23E+01,7.26E+01,1
-3.53E+00,-3.53E+00,-2.98E+01,1
7.25E+00,7.25E+00,7.14E+00,0
1.43E+01,1.43E+01,1.39E+01,1
3.23E+01,3.23E+01,1.98E+00,0
-2.06E+01,-2.06E+01,3.43E+01,0
-3.37E+01,-3.37E+01,1.98E+01,1
1.08E+02,1.08E+02,-2.06E+02,-1
-2.70E+02,-2.70E+02,7.72E+02,-1
7.66E+00,7.66E+00,-2.54E+01,-1
-2.78E+02,-2.78E+02,5.38E+02,-1
-5.62E+01,-5.62E+01,2.87E+02,-1
2.92E+01,2.92E+01,-4.22E+00,0
-6.05E+01,-6.05E+01,2.36E+02,-1
-2.36E+02,-2.36E+02,4.33E+02,-1
-2.88E+01,-2.88E+01,-6.09E-01,0
-1.67E+02,-1.67E+02,3.11E+02,-1
-1.17E+01,-1.17E+01,6.73E+00,0
-8.49E+01,-8.49E+01,3.14E+01,1
7.83E+01,7.83E+01,2.37E+01,-1
5.09E+01,5.09E+01,-1.36E+02,-1
-3.50E+01,-3.50E+01,2.73E+01,1
-4.03E+01,-4.03E+01,9.78E+00,1
2.02E+01,2.02E+01,-2.03E+01,0
4.94E+01,4.94E+01,-1.47E+01,0
-6.53E+01,-6.53E+01,1.22E+02,1
-1.01E+02,-1.01E+02,1.55E+02,-1
-9.81E+01,-9.81E+01,2.33E+02,-1
2.63E+01,2.63E+01,-1.03E+01,0
7.04E+01,7.04E+01,-4.25E+01,0
7.91E+01,7.91E+01,4.56E+00,0
-4.76E+01,-4.76E+01,-1.33E+00,0
-1.19E+02,-1.19E+02,2.71E+02,-1
-5.03E+01,-5.03E+01,7.98E+01,-1
-1.77E+02,-1.77E+02,3.27E+02,-1
9.18E+01,9.18E+01,-1.11E+02,-1
3.38E+01,3.38E+01,1.39E+02,1
-3.72E+00,-3.72E+00,-8.75E+00,0
7.51E+01,7.51E+01,-1.64E+01,0
-1.87E+01,-1.87E+01,2.53E+01,0
-7.76E+01,-7.76E+01,1.66E+02,-1
9.21E+00,9.21E+00,-2.81E+00,0
-5.60E+01,-5.60E+01,5.62E+01,1
-2.33E+02,-2.33E+02,5.71E+02,1
-8.12E+01,-8.12E+01,1.88E+00,1
2.50E+01,2.50E+01,-1.59E+01,0
1.52E+01,1.52E+01,1.88E+01,1
-6.26E+01,-6.26E+01,9.46E+01,-1
-5.66E+01,-5.66E+01,3.73E+01,1
-3.65E+02,-3.65E+02,7.99E+02,-1
-2.49E+01,-2.49E+01,1.57E+01,1
3.41E+01,3.41E+01,1.67E+01,1
-6.41E+01,-6.41E+01,1.04E+02,-1
5.45E+00,5.45E+00,-1.92E+00,1
3.60E+01,3.60E+01,-1.64E+01,-1
-2.90E+01,-2.90E+01,1.12E+02,1
-3.08E+01,-3.08E+01,2.77E+01,1
1.61E+01,1.61E+01,-7.54E-02,0
-4.77E+01,-4.77E+01,4.86E+01,0
-1.29E+01,-1.29E+01,-3.08E+01,0
-7.51E+01,-7.51E+01,1.32E+02,1
-1.97E+02,-1.97E+02,3.61E+02,1
4.71E+01,4.71E+01,1.26E+01,1
-2.17E+01,-2.17E+01,-5.65E+01,0
4.47E+00,4.47E+00,1.93E+00,0
-1.33E+02,-1.33E+02,1.71E+02,-1
-2.14E+02,-2.14E+02,2.65E+02,-1
2.02E+02,2.02E+02,-6.76E+02,1
-1.84E+02,-1.84E+02,4.23E+02,-1
1.35E+02,1.35E+02,-4.49E+01,-1
1.29E+01,1.29E+01,-2.12E+01,0
-1.40E+02,-1.40E+02,3.12E+02,-1
-1.20E+01,-1.20E+01,-2.47E+01,0
1.53E+01,1.53E+01,-1.43E+01,0
-2.56E+02,-2.56E+02,7.65E+02,-1
-5.06E+01,-5.06E+01,6.20E+01,-1
-2.50E+01,-2.50E+01,-8.83E+00,0
7.60E-01,7.60E-01,-1.24E+00,0
-1.44E+01,-1.44E+01,4.18E+01,-1
-4.63E+01,-4.63E+01,1.76E+01,0
-1.77E+01,-1.77E+01,1.06E+01,0
-1.49E+01,-1.49E+01,-1.05E+00,0
-2.02E+02,-2.02E+02,3.71E+02,-1
2.14E+01,2.14E+01,1.90E+01,0
7.95E+00,7.95E+00,1.07E+01,0
-1.60E+00,-1.60E+00,2.40E+01,0
-1.59E+02,-1.59E+02,5.08E+02,-1
-3.15E+01,-3.15E+01,1.32E+00,1
1.31E+01,1.31E+01,-1.63E+01,0
-5.60E+01,-5.60E+01,1.05E+00,1
-4.19E+02,-4.19E+02,7.63E+02,-1
-6.45E+01,-6.45E+01,-1.83E+01,1
-1.28E+02,-1.28E+02,2.32E+02,1
-1.36E+02,-1.36E+02,3.19E+02,1
-6.84E+01,-6.84E+01,-8.57E+00,1
-8.18E+01,-8.18E+01,2.34E+00,0
8.02E+01,8.02E+01,-2.81E+02,-1
-7.88E+01,-7.88E+01,4.49E+02,1
-4.75E+01,-4.75E+01,3.55E+01,0
-2.07E+01,-2.07E+01,-1.73E+01,1
-2.69E+02,-2.69E+02,5.99E+02,1
1.19E+00,1.19E+00,-2.82E+00,0
-1.17E+01,-1.17E+01,7.89E+00,0
-1.09E+02,-1.09E+02,2.33E+01,1
3.14E+01,3.14E+01,-7.09E+01,-1
6.75E+00,6.75E+00,-1.22E+01,-1
-7.95E+01,-7.95E+01,1.17E+02,-1
-1.22E+02,-1.22E+02,1.74E+02,1
-1.87E+02,-1.87E+02,5.00E+02,-1
-8.78E+01,-8.78E+01,1.35E+02,-1
-2.91E+02,-2.91E+02,7.69E+02,-1
3.48E+00,3.48E+00,8.26E+01,-1
-1.10E+02,-1.10E+02,1.27E+02,-1
-3.85E+01,-3.85E+01,6.29E+00,0
3.21E+01,3.21E+01,-1.49E+02,-1
3.28E+01,3.28E+01,-2.79E+01,0
-1.07E+01,-1.07E+01,2.02E+01,0
1.37E+01,1.37E+01,-4.60E+00,0
3.16E+01,3.16E+01,6.09E+00,-1
-3.86E+01,-3.86E+01,1.27E+01,1
-4.05E+01,-4.05E+01,8.54E+00,1
1.65E+02,1.65E+02,-2.38E+02,-1
-1.88E+01,-1.88E+01,3.81E+01,1
2.25E+01,2.25E+01,9.67E-01,0
7.19E+01,7.19E+01,-6.97E+01,-1
4.04E+01,4.04E+01,2.44E+01,1
-7.09E+01,-7.09E+01,3.62E+01,1
-1.43E+02,-1.43E+02,1.82E+02,-1
1.12E+01,1.12E+01,-6.24E+00,0
3.41E+01,3.41E+01,-3.19E+01,0
-3.52E+02,-3.52E+02,6.75E+02,-1
-7.29E+01,-7.29E+01,3.18E+01,1
-9.14E+00,-9.14E+00,-1.28E+01,0
-8.76E+01,-8.76E+01,2.92E+02,-1
3.02E-01,3.02E-01,-3.21E+01,-1
2.44E+00,2.44E+00,8.03E+01,-1
2.71E+01,2.71E+01,4.92E+00,0
3.06E+01,3.06E+01,2.15E+01,0
-3.05E+01,-3.05E+01,1.17E+01,0
-3.39E+01,-3.39E+01,-7.35E-01,0
2.03E+01,2.03E+01,-3.36E+00,0
-5.15E+01,-5.15E+01,-4.37E+00,0
-9.85E+00,-9.85E+00,5.19E+00,0
-1.98E+02,-1.98E+02,4.91E+02,-1
1.09E+02,1.09E+02,-2.19E+02,-1
3.50E+00,3.50E+00,-8.18E+00,0
-1.83E+02,-1.83E+02,3.15E+02,-1
-5.20E+01,-5.20E+01,2.32E+01,0
-3.92E+01,-3.92E+01,1.07E+02,1
3.73E+01,3.73E+01,9.16E+01,-1
3.27E+01,3.27E+01,-1.03E+02,-1
3.48E+01,3.48E+01,-1.02E+01,0
-4.64E+01,-4.64E+01,7.63E+00,0
-2.95E+02,-2.95E+02,2.39E-01,0
-8.57E+01,-8.57E+01,1.87E+01,1
-2.70E+02,-2.70E+02,7.72E+02,-1
-2.75E+02,-2.75E+02,3.66E+02,-1
-3.97E+01,-3.97E+01,-1.30E+01,1
-1.34E+02,-1.34E+02,2.48E+02,1
-1.51E+01,-1.51E+01,1.45E+01,1
3.46E+01,3.46E+01,-9.22E+01,-1
-5.92E+01,-5.92E+01,1.23E+02,1
-1.62E+02,-1.62E+02,2.25E+02,-1
-1.02E+01,-1.02E+01,1.34E+00,0
1.51E+01,1.51E+01,-9.69E+00,0
-6.56E+01,-6.56E+01,3.06E+02,-1
-1.02E+00,-1.02E+00,1.94E+01,0
1.13E+01,1.13E+01,5.25E+00,1
-2.36E+02,-2.36E+02,-2.62E+01,0
-6.62E+01,-6.62E+01,2.50E+01,1
-6.05E+01,-6.05E+01,-5.72E+01,1
-4.70E+01,-4.70E+01,2.50E+01,1
2.43E+01,2.43E+01,-7.39E+01,1
-7.23E+01,-7.23E+01,2.32E+02,-1
-3.47E+01,-3.47E+01,2.30E+01,0
-3.91E+01,-3.91E+01,2.56E+01,1
-4.33E+01,-4.33E+01,-1.59E+01,1
-9.33E+01,-9.33E+01,2.93E+02,-1
-6.46E+01,-6.46E+01,1.40E+01,1
8.31E+00,8.31E+00,1.69E+01,0
-2.52E+02,-2.52E+02,4.86E+02,-1
-1.11E+02,-1.11E+02,1.58E+01,1
6.64E+00,6.64E+00,1.23E+01,0
-2.85E+01,-2.85E+01,1.01E+02,-1
-5.74E+01,-5.74E+01,3.06E+01,0
1.93E+01,1.93E+01,-1.31E-01,0
-1.09E+02,-1.09E+02,1.86E+02,-1
-5.89E+00,-5.89E+00,-1.21E+01,-1
-4.17E+01,-4.17E+01,-2.49E+01,1
6.35E+00,6.35E+00,3.07E+00,1
9.46E+00,9.46E+00,1.10E+01,0
4.06E+01,4.06E+01,-2.63E+01,0
7.84E+00,7.84E+00,-1.90E+01,0
1.67E+01,1.67E+01,-1.96E+01,1
-1.93E+02,-1.93E+02,4.03E+02,-1
2.34E+01,2.34E+01,-3.27E+00,0
9.43E+00,9.43E+00,-5.57E+00,0
-1.71E+01,-1.71E+01,1.75E+01,-1
5.43E+01,5.43E+01,-1.30E+01,0
-2.47E+01,-2.47E+01,-1.29E+01,1
6.61E+01,6.61E+01,-1.97E+02,1
-3.54E+01,-3.54E+01,1.24E+01,0
7.77E+01,7.77E+01,-6.57E+01,-1
-2.93E+01,-2.93E+01,-6.33E+00,1
1.04E+00,1.04E+00,-6.97E+00,0
8.30E+00,8.30E+00,-2.06E+00,0
-1.67E+02,-1.67E+02,3.36E+02,-1
-3.91E+01,-3.91E+01,4.56E+01,1
-3.81E+02,-3.81E+02,7.34E+02,-1
-1.24E+02,-1.24E+02,4.09E+02,-1
-1.05E+02,-1.05E+02,2.65E+02,1
4.32E+01,4.32E+01,-1.86E+01,0
-3.32E+02,-3.32E+02,6.64E+02,-1
-2.00E+01,-2.00E+01,1.09E+01,1
-4.88E+01,-4.88E+01,3.08E+01,1
1.63E+01,1.63E+01,-5.65E+00,0
-3.13E+01,-3.13E+01,-6.25E+00,0
-7.45E+00,-7.45E+00,5.88E+00,1
4.22E+01,4.22E+01,8.93E+01,1
-1.10E+01,-1.10E+01,9.23E+00,1
-2.32E+01,-2.32E+01,-4.74E+00,0
-2.55E+01,-2.55E+01,1.61E+01,0
-8.90E+00,-8.90E+00,6.42E+00,-1
-2.10E+01,-2.10E+01,4.27E+00,0
-1.56E+02,-1.56E+02,2.98E+02,1
2.34E-01,2.34E-01,-7.80E+00,1
-2.33E+01,-2.33E+01,1.76E+01,0
5.64E+01,5.64E+01,-1.26E+02,-1
-2.47E+01,-2.47E+01,1.63E+01,0
5.63E+00,5.63E+00,-1.51E+01,0
3.24E+01,3.24E+01,-1.08E+02,-1
5.96E+00,5.96E+00,3.05E+01,0
-2.06E+02,-2.06E+02,4.27E+02,-1
-1.04E+02,-1.04E+02,2.67E+02,-1
6.54E+00,6.54E+00,-1.05E+01,0
-8.62E+01,-8.62E+01,-3.39E+01,1
-1.34E+01,-1.34E+01,5.18E+01,0
-1.43E+02,-1.43E+02,2.80E+02,-1
-6.48E+01,-6.48E+01,1.23E+02,-1
2.11E+01,2.11E+01,-1.63E+01,0
-2.58E+01,-2.58E+01,2.15E+01,0
-1.34E+02,-1.34E+02,2.80E+02,-1
-1.47E+02,-1.47E+02,2.88E+02,1
-5.08E+01,-5.08E+01,2.27E+00,0
-4.74E+01,-4.74E+01,7.41E+00,0
1.95E+00,1.95E+00,3.23E+00,0
-5.74E+01,-5.74E+01,5.36E+01,1
-4.87E+01,-4.87E+01,1.60E+02,1
2.12E+01,2.12E+01,1.83E+00,-1
-1.47E+01,-1.47E+01,4.50E+00,0
3.48E+01,3.48E+01,2.37E+01,1
-8.03E+01,-8.03E+01,1.50E+02,-1
-2.41E+01,-2.41E+01,5.11E+01,1
4.40E+01,4.40E+01,6.65E+00,0
4.57E+01,4.57E+01,-1.23E+02,-1
-5.07E+01,-5.07E+01,2.30E+01,0
-3.23E+01,-3.23E+01,-4.30E+01,1
-6.25E+01,-6.25E+01,9.87E+01,1
-1.68E+02,-1.68E+02,2.86E+02,-1
-2.98E+01,-2.98E+01,5.48E+00,1
-2.59E+01,-2.59E+01,2.00E+01,0
1.06E+01,1.06E+01,1.07E+01,0
-2.09E+02,-2.09E+02,4.42E+02,-1
-5.30E+01,-5.30E+01,7.74E+01,1
-4.71E+01,-4.71E+01,-2.28E+01,1
1.46E-01,1.46E-01,9.13E-01,0
-7.46E+01,-7.46E+01,1.73E+02,1
-1.01E+02,-1.01E+02,2.54E+02,-1
-2.21E+02,-2.21E+02,5.18E+02,-1
-2.16E+02,-2.16E+02,4.69E+02,-1
-1.67E+02,-1.67E+02,2.99E+02,-1
-7.69E+01,-7.69E+01,3.66E+00,1
1.35E+01,1.35E+01,-1.02E+02,1
1.35E+01,1.35E+01,-1.32E+01,0
6.82E+01,6.82E+01,-1.49E+01,0
6.01E+00,6.01E+00,-2.73E+00,0
5.59E+01,5.59E+01,-3.65E+01,0
-2.32E+01,-2.32E+01,8.37E+00,0
1.36E+01,1.36E+01,-1.33E+02,0
-9.22E+00,-9.22E+00,1.45E+00,0
-1.03E+02,-1.03E+02,3.65E+01,1
6.01E+00,6.01E+00,1.74E+01,0
2.50E+00,2.50E+00,-6.80E+00,1
3.52E+01,3.52E+01,7.04E+00,1
-3.22E+02,-3.22E+02,6.98E+02,-1
1.09E+01,1.09E+01,-1.14E+00,1
-1.43E+02,-1.43E+02,2.77E+02,1
-1.04E+01,-1.04E+01,-7.82E+00,0
2.26E+01,2.26E+01,-6.47E+01,-1
-1.05E+02,-1.05E+02,2.07E+02,-1
4.72E+01,4.72E+01,-9.04E+01,1
-3.97E+01,-3.97E+01,1.71E+01,1
2.04E+01,2.04E+01,1.82E+01,1
-2.82E+01,-2.82E+01,3.67E+00,0
-3.12E+02,-3.12E+02,3.85E+02,-1
-2.66E+01,-2.66E+01,-2.45E+00,0
-6.99E+01,-6.99E+01,-4.85E+00,1
-8.53E-01,-8.53E-01,1.41E+01,0
-6.79E+01,-6.79E+01,-8.34E+00,1
-2.10E+01,-2.10E+01,-4.89E+00,0
-1.60E+02,-1.60E+02,-2.75E+01,1
-1.09E+02,-1.09E+02,3.70E+02,1
-1.17E+02,-1.17E+02,1.82E+02,-1
9.91E+01,9.91E+01,-2.62E+02,1
1.06E+02,1.06E+02,-1.25E+02,-1
2.74E+01,2.74E+01,2.02E+01,1
3.71E+01,3.71E+01,-1.54E+02,1
-1.51E+01,-1.51E+01,2.87E+01,0
-7.46E+01,-7.46E+01,3.83E+01,0
3.80E+01,3.80E+01,-5.52E+01,-1
-6.90E+01,-6.90E+01,2.09E+02,-1
-4.36E+01,-4.36E+01,4.67E+01,1
-1.19E+02,-1.19E+02,2.27E+02,-1
-1.56E+01,-1.56E+01,-8.71E+00,0
-5.24E+01,-5.24E+01,6.22E+01,-1
-6.30E+01,-6.30E+01,5.78E+01,1
-2.07E+01,-2.07E+01,8.73E+00,0
-1.07E+01,-1.07E+01,-9.14E-01,0
-4.75E+01,-4.75E+01,9.58E+00,0
-3.24E+01,-3.24E+01,1.15E+02,-1
-3.46E+01,-3.46E+01,-2.30E+01,1
-9.62E+00,-9.62E+00,4.19E+01,1
-5.98E+00,-5.98E+00,3.97E+01,1
-8.49E+01,-8.49E+01,7.15E+01,1
-4.40E+01,-4.40E+01,1.71E+02,1
-8.69E+00,-8.69E+00,5.53E+00,0
-7.61E+00,-7.61E+00,-6.45E-01,0
-3.06E+02,-3.06E+02,7.82E+02,-1
-6.72E+01,-6.72E+01,4.06E+00,1
-3.03E+01,-3.03E+01,6.22E+00,0
5.23E+00,5.23E+00,-1.81E+01,0
-2.66E+02,-2.66E+02,5.65E+02,-1
-4.35E+01,-4.35E+01,1.89E+02,-1
-7.01E+01,-7.01E+01,1.00E+02,-1
7.23E+01,7.23E+01,-2.26E+02,1
-9.81E-01,-9.81E-01,6.79E+00,0
-2.74E+02,-2.74E+02,7.38E+02,-1
-2.51E+02,-2.51E+02,5.01E+02,1
7.32E+00,7.32E+00,-1.76E+01,0
5.34E+00,5.34E+00,-8.52E+01,-1
-2.10E+01,-2.10E+01,8.65E+00,0
-7.56E+01,-7.56E+01,2.89E+01,1
1.96E+01,1.96E+01,4.20E+00,1
-3.78E+01,-3.78E+01,2.23E+02,-1
8.24E+00,8.24E+00,-1.52E+01,0
8.93E+00,8.93E+00,4.64E+00,0
-1.77E+01,-1.77E+01,5.29E+00,1
5.10E+01,5.10E+01,-4.41E+01,1
4.15E+01,4.15E+01,-5.54E+01,-1
-1.52E+02,-1.52E+02,1.75E+02,-1
-1.13E+01,-1.13E+01,1.97E+01,1
6.98E+01,6.98E+01,-7.91E+01,1
-1.51E+02,-1.51E+02,2.87E+02,1
4.56E+01,4.56E+01,-9.15E+01,-1
4.05E+01,4.05E+01,2.71E+00,0
5.45E+00,5.45E+00,3.04E+01,1
